"","Source","Target","Weight"
"15793","69-2"," 845.4","0.08333333"
"15796","72-2"," 845.4","0.08333333"
"15846","865"," 845.4","0.08333333"
"15848","867"," 845.4","0.08333333"
"15892","67-2"," 850.6","0.50000000"
"15896","71-2"," 850.6","0.50000000"
"15993","67-2"," 851.6","1.00000000"
"16060","31-2"," 852.6","0.09090909"
"16062","33-2"," 852.6","0.09090909"
"16063","34-2"," 852.6","0.09090909"
"16087","60-2"," 852.6","0.09090909"
"16090","63-2"," 852.6","0.09090909"
"16092","65-2"," 852.6","0.09090909"
"16094","67-2"," 852.6","0.09090909"
"16095","68-2"," 852.6","0.09090909"
"16098","71-2"," 852.6","0.09090909"
"16100","73-2"," 852.6","0.09090909"
"16115","831"," 852.6","0.09090909"
"16161","31-2"," 853.6","0.11111111"
"16164","34-2"," 853.6","0.11111111"
"16188","60-2"," 853.6","0.11111111"
"16191","63-2"," 853.6","0.11111111"
"16195","67-2"," 853.6","0.11111111"
"16196","68-2"," 853.6","0.11111111"
"16199","71-2"," 853.6","0.11111111"
"16201","73-2"," 853.6","0.11111111"
"16216","831"," 853.6","0.11111111"
"16296","67-2"," 854.6","0.50000000"
"16300","71-2"," 854.6","0.50000000"
"16393","63-2"," 862.2","1.00000000"
"16483","52-2"," 863.5","1.00000000"
"16599","67-2"," 866.6","1.00000000"
"16700","67-2"," 867.6","1.00000000"
"16767","31-2"," 868.6","0.12500000"
"16769","33-2"," 868.6","0.12500000"
"16770","34-2"," 868.6","0.12500000"
"16794","60-2"," 868.6","0.12500000"
"16797","63-2"," 868.6","0.12500000"
"16801","67-2"," 868.6","0.12500000"
"16802","68-2"," 868.6","0.12500000"
"16805","71-2"," 868.6","0.12500000"
"16902","67-2"," 869.6","0.33333333"
"16903","68-2"," 869.6","0.33333333"
"16906","71-2"," 869.6","0.33333333"
"17009","73-2"," 877.1","1.00000000"
"17089","52-2"," 879.5","1.00000000"
"17190","52-2"," 891.7","1.00000000"
"17326","830"," 893.1","0.50000000"
"17327","831"," 893.1","0.50000000"
"17428","831"," 894.1","1.00000000"
"17529","831"," 909.1","1.00000000"
"17605","63-2"," 932.4","1.00000000"
"17716","73-2"," 965.6","1.00000000"
"17804","60-2"," 971.5","0.33333333"
"17807","63-2"," 971.5","0.33333333"
"17815","71-2"," 971.5","0.33333333"
"17881","34-2"," 972.5","0.02222222"
"17885","39-2"," 972.5","0.02222222"
"17887","42-2"," 972.5","0.02222222"
"17888","43-2"," 972.5","0.02222222"
"17896","51-2"," 972.5","0.02222222"
"17905","60-2"," 972.5","0.02222222"
"17907","62-2"," 972.5","0.02222222"
"17909","64-2"," 972.5","0.02222222"
"17910","65-2"," 972.5","0.02222222"
"17911","66-2"," 972.5","0.02222222"
"17913","68-2"," 972.5","0.02222222"
"17914","69-2"," 972.5","0.02222222"
"17916","71-2"," 972.5","0.02222222"
"17917","72-2"," 972.5","0.02222222"
"17919","817"," 972.5","0.02222222"
"17920","818"," 972.5","0.02222222"
"17924","822"," 972.5","0.02222222"
"17925","823"," 972.5","0.02222222"
"17926","824"," 972.5","0.02222222"
"17931","829"," 972.5","0.02222222"
"17933","831"," 972.5","0.02222222"
"17935","833"," 972.5","0.02222222"
"17936","834"," 972.5","0.02222222"
"17938","836"," 972.5","0.02222222"
"17939","837"," 972.5","0.02222222"
"17940","838"," 972.5","0.02222222"
"17942","840"," 972.5","0.02222222"
"17945","843"," 972.5","0.02222222"
"17948","846"," 972.5","0.02222222"
"17952","850"," 972.5","0.02222222"
"17956","854"," 972.5","0.02222222"
"17957","855"," 972.5","0.02222222"
"17958","856"," 972.5","0.02222222"
"17959","857"," 972.5","0.02222222"
"17960","858"," 972.5","0.02222222"
"17961","859"," 972.5","0.02222222"
"17962","860"," 972.5","0.02222222"
"17963","861"," 972.5","0.02222222"
"17964","862"," 972.5","0.02222222"
"17966","864"," 972.5","0.02222222"
"17967","865"," 972.5","0.02222222"
"17969","867"," 972.5","0.02222222"
"17970","868"," 972.5","0.02222222"
"17976","874"," 972.5","0.02222222"
"17977","875"," 972.5","0.02222222"
"17982","34-2"," 973.5","0.02702703"
"17986","39-2"," 973.5","0.02702703"
"17988","42-2"," 973.5","0.02702703"
"17989","43-2"," 973.5","0.02702703"
"17997","51-2"," 973.5","0.02702703"
"18008","62-2"," 973.5","0.02702703"
"18010","64-2"," 973.5","0.02702703"
"18011","65-2"," 973.5","0.02702703"
"18012","66-2"," 973.5","0.02702703"
"18014","68-2"," 973.5","0.02702703"
"18015","69-2"," 973.5","0.02702703"
"18017","71-2"," 973.5","0.02702703"
"18018","72-2"," 973.5","0.02702703"
"18025","822"," 973.5","0.02702703"
"18027","824"," 973.5","0.02702703"
"18032","829"," 973.5","0.02702703"
"18034","831"," 973.5","0.02702703"
"18036","833"," 973.5","0.02702703"
"18037","834"," 973.5","0.02702703"
"18039","836"," 973.5","0.02702703"
"18043","840"," 973.5","0.02702703"
"18046","843"," 973.5","0.02702703"
"18049","846"," 973.5","0.02702703"
"18053","850"," 973.5","0.02702703"
"18057","854"," 973.5","0.02702703"
"18058","855"," 973.5","0.02702703"
"18059","856"," 973.5","0.02702703"
"18060","857"," 973.5","0.02702703"
"18063","860"," 973.5","0.02702703"
"18064","861"," 973.5","0.02702703"
"18065","862"," 973.5","0.02702703"
"18067","864"," 973.5","0.02702703"
"18068","865"," 973.5","0.02702703"
"18070","867"," 973.5","0.02702703"
"18071","868"," 973.5","0.02702703"
"18077","874"," 973.5","0.02702703"
"18078","875"," 973.5","0.02702703"
"18083","34-2"," 974.5","0.08333333"
"18087","39-2"," 974.5","0.08333333"
"18089","42-2"," 974.5","0.08333333"
"18090","43-2"," 974.5","0.08333333"
"18098","51-2"," 974.5","0.08333333"
"18111","64-2"," 974.5","0.08333333"
"18113","66-2"," 974.5","0.08333333"
"18115","68-2"," 974.5","0.08333333"
"18116","69-2"," 974.5","0.08333333"
"18118","71-2"," 974.5","0.08333333"
"18119","72-2"," 974.5","0.08333333"
"18169","865"," 974.5","0.08333333"
"18186","37-2"," 977.6","0.33333333"
"18193","45-2"," 977.6","0.33333333"
"18194","46-2"," 977.6","0.33333333"
"18320","71-2"," 988.5","1.00000000"
"18421","71-2"," 989.5","1.00000000"
"18567","859"," 994.6","1.00000000"
"18647","838","1006.6","1.00000000"
"18720","67-2","1029.6","1.00000000"
"18821","67-2","1030.7","1.00000000"
"18922","67-2","1032.7","1.00000000"
"19008","52-2","1044.9","1.00000000"
"19109","52-2","1058.9","1.00000000"
"19210","52-2","1059.9","1.00000000"
"19311","52-2","1060.9","1.00000000"
"19412","52-2","1061.9","1.00000000"
"19534","73-2","1064.6","0.50000000"
"19549","831","1064.6","0.50000000"
"19635","73-2","1065.7","0.50000000"
"19650","831","1065.7","0.50000000"
"19715","52-2","1072.9","1.00000000"
"19816","52-2","1073.9","1.00000000"
"19917","52-2","1074.9","1.00000000"
"20018","52-2","1075.9","1.00000000"
"20119","52-2","1076.9","1.00000000"
"20220","52-2","1077.9","1.00000000"
"20314","45-2","1079.7","1.00000000"
"20415","45-2","1080.7","1.00000000"
"20523","52-2","1086.9","1.00000000"
"20624","52-2","1087.7","1.00000000"
"20725","52-2","1088.9","1.00000000"
"20826","52-2","1089.9","1.00000000"
"20927","52-2","1090.9","1.00000000"
"21028","52-2","1091.9","1.00000000"
"21129","52-2","1098.8","1.00000000"
"21230","52-2","1100.9","1.00000000"
"21315","34-2","1101.5","0.03225806"
"21319","39-2","1101.5","0.03225806"
"21321","42-2","1101.5","0.03225806"
"21322","43-2","1101.5","0.03225806"
"21330","51-2","1101.5","0.03225806"
"21341","62-2","1101.5","0.03225806"
"21343","64-2","1101.5","0.03225806"
"21344","65-2","1101.5","0.03225806"
"21345","66-2","1101.5","0.03225806"
"21347","68-2","1101.5","0.03225806"
"21348","69-2","1101.5","0.03225806"
"21350","71-2","1101.5","0.03225806"
"21351","72-2","1101.5","0.03225806"
"21353","817","1101.5","0.03225806"
"21354","818","1101.5","0.03225806"
"21358","822","1101.5","0.03225806"
"21360","824","1101.5","0.03225806"
"21365","829","1101.5","0.03225806"
"21369","833","1101.5","0.03225806"
"21370","834","1101.5","0.03225806"
"21372","836","1101.5","0.03225806"
"21373","837","1101.5","0.03225806"
"21376","840","1101.5","0.03225806"
"21379","843","1101.5","0.03225806"
"21382","846","1101.5","0.03225806"
"21386","850","1101.5","0.03225806"
"21398","862","1101.5","0.03225806"
"21400","864","1101.5","0.03225806"
"21401","865","1101.5","0.03225806"
"21403","867","1101.5","0.03225806"
"21404","868","1101.5","0.03225806"
"21432","52-2","1101.9","1.00000000"
"21517","34-2","1102.5","0.03571429"
"21521","39-2","1102.5","0.03571429"
"21523","42-2","1102.5","0.03571429"
"21524","43-2","1102.5","0.03571429"
"21532","51-2","1102.5","0.03571429"
"21543","62-2","1102.5","0.03571429"
"21545","64-2","1102.5","0.03571429"
"21546","65-2","1102.5","0.03571429"
"21547","66-2","1102.5","0.03571429"
"21549","68-2","1102.5","0.03571429"
"21550","69-2","1102.5","0.03571429"
"21552","71-2","1102.5","0.03571429"
"21553","72-2","1102.5","0.03571429"
"21555","817","1102.5","0.03571429"
"21560","822","1102.5","0.03571429"
"21567","829","1102.5","0.03571429"
"21571","833","1102.5","0.03571429"
"21572","834","1102.5","0.03571429"
"21574","836","1102.5","0.03571429"
"21578","840","1102.5","0.03571429"
"21581","843","1102.5","0.03571429"
"21584","846","1102.5","0.03571429"
"21588","850","1102.5","0.03571429"
"21600","862","1102.5","0.03571429"
"21602","864","1102.5","0.03571429"
"21603","865","1102.5","0.03571429"
"21605","867","1102.5","0.03571429"
"21606","868","1102.5","0.03571429"
"21634","52-2","1102.9","1.00000000"
"21719","34-2","1103.5","0.05882353"
"21723","39-2","1103.5","0.05882353"
"21725","42-2","1103.5","0.05882353"
"21726","43-2","1103.5","0.05882353"
"21734","51-2","1103.5","0.05882353"
"21735","52-2","1103.5","0.05882353"
"21745","62-2","1103.5","0.05882353"
"21747","64-2","1103.5","0.05882353"
"21748","65-2","1103.5","0.05882353"
"21749","66-2","1103.5","0.05882353"
"21751","68-2","1103.5","0.05882353"
"21752","69-2","1103.5","0.05882353"
"21754","71-2","1103.5","0.05882353"
"21755","72-2","1103.5","0.05882353"
"21783","843","1103.5","0.05882353"
"21805","865","1103.5","0.05882353"
"21807","867","1103.5","0.05882353"
"21824","39-2","1105.0","0.07692308"
"21826","42-2","1105.0","0.07692308"
"21827","43-2","1105.0","0.07692308"
"21836","52-2","1105.0","0.07692308"
"21844","60-2","1105.0","0.07692308"
"21847","63-2","1105.0","0.07692308"
"21848","64-2","1105.0","0.07692308"
"21850","66-2","1105.0","0.07692308"
"21852","68-2","1105.0","0.07692308"
"21857","73-2","1105.0","0.07692308"
"21872","831","1105.0","0.07692308"
"21879","838","1105.0","0.07692308"
"21905","864","1105.0","0.07692308"
"21945","60-2","1106.6","0.20000000"
"21948","63-2","1106.6","0.20000000"
"21958","73-2","1106.6","0.20000000"
"21973","831","1106.6","0.20000000"
"21980","838","1106.6","0.20000000"
"22046","60-2","1107.6","0.25000000"
"22049","63-2","1107.6","0.25000000"
"22059","73-2","1107.6","0.25000000"
"22074","831","1107.6","0.25000000"
"22150","63-2","1108.4","1.00000000"
"22240","52-2","1112.8","1.00000000"
"22341","52-2","1113.8","1.00000000"
"22442","52-2","1114.8","1.00000000"
"22543","52-2","1116.9","1.00000000"
"22644","52-2","1117.7","0.50000000"
"22663","71-2","1117.7","0.50000000"
"22764","71-2","1118.7","1.00000000"
"22846","52-2","1122.6","0.20000000"
"22854","60-2","1122.6","0.20000000"
"22857","63-2","1122.6","0.20000000"
"22889","838","1122.6","0.20000000"
"22910","859","1122.6","0.20000000"
"22958","63-2","1123.6","0.33333333"
"22990","838","1123.6","0.33333333"
"23011","859","1123.6","0.33333333"
"23048","52-2","1126.8","1.00000000"
"23185","831","1143.6","1.00000000"
"23286","831","1144.6","1.00000000"
"23354","55-2","1148.8","1.00000000"
"23455","55-2","1149.7","0.16666667"
"23460","60-2","1149.7","0.16666667"
"23463","63-2","1149.7","0.16666667"
"23473","73-2","1149.7","0.16666667"
"23488","831","1149.7","0.16666667"
"23495","838","1149.7","0.16666667"
"23546","45-2","1150.7","0.16666667"
"23556","55-2","1150.7","0.16666667"
"23561","60-2","1150.7","0.16666667"
"23564","63-2","1150.7","0.16666667"
"23589","831","1150.7","0.16666667"
"23596","838","1150.7","0.16666667"
"23647","45-2","1151.7","1.00000000"
"23763","60-2","1162.7","0.25000000"
"23774","71-2","1162.7","0.25000000"
"23775","72-2","1162.7","0.25000000"
"23776","73-2","1162.7","0.25000000"
"23859","55-2","1164.8","1.00000000"
"23960","55-2","1165.8","1.00000000"
"24061","55-2","1166.8","1.00000000"
"24162","55-2","1167.9","1.00000000"
"24242","32-2","1179.7","1.00000000"
"24380","71-2","1183.6","1.00000000"
"24465","55-2","1188.9","1.00000000"
"24566","55-2","1189.9","1.00000000"
"24667","55-2","1190.8","1.00000000"
"24749","34-2","1230.6","0.02857143"
"24752","38-2","1230.6","0.02857143"
"24753","39-2","1230.6","0.02857143"
"24755","42-2","1230.6","0.02857143"
"24756","43-2","1230.6","0.02857143"
"24764","51-2","1230.6","0.02857143"
"24775","62-2","1230.6","0.02857143"
"24777","64-2","1230.6","0.02857143"
"24778","65-2","1230.6","0.02857143"
"24779","66-2","1230.6","0.02857143"
"24781","68-2","1230.6","0.02857143"
"24782","69-2","1230.6","0.02857143"
"24784","71-2","1230.6","0.02857143"
"24785","72-2","1230.6","0.02857143"
"24787","817","1230.6","0.02857143"
"24788","818","1230.6","0.02857143"
"24792","822","1230.6","0.02857143"
"24793","823","1230.6","0.02857143"
"24794","824","1230.6","0.02857143"
"24799","829","1230.6","0.02857143"
"24803","833","1230.6","0.02857143"
"24804","834","1230.6","0.02857143"
"24806","836","1230.6","0.02857143"
"24807","837","1230.6","0.02857143"
"24810","840","1230.6","0.02857143"
"24813","843","1230.6","0.02857143"
"24816","846","1230.6","0.02857143"
"24820","850","1230.6","0.02857143"
"24826","856","1230.6","0.02857143"
"24832","862","1230.6","0.02857143"
"24834","864","1230.6","0.02857143"
"24835","865","1230.6","0.02857143"
"24837","867","1230.6","0.02857143"
"24838","868","1230.6","0.02857143"
"24840","870","1230.6","0.02857143"
"24850","34-2","1231.5","0.03225806"
"24854","39-2","1231.5","0.03225806"
"24856","42-2","1231.5","0.03225806"
"24857","43-2","1231.5","0.03225806"
"24865","51-2","1231.5","0.03225806"
"24876","62-2","1231.5","0.03225806"
"24878","64-2","1231.5","0.03225806"
"24879","65-2","1231.5","0.03225806"
"24880","66-2","1231.5","0.03225806"
"24882","68-2","1231.5","0.03225806"
"24883","69-2","1231.5","0.03225806"
"24885","71-2","1231.5","0.03225806"
"24886","72-2","1231.5","0.03225806"
"24888","817","1231.5","0.03225806"
"24893","822","1231.5","0.03225806"
"24895","824","1231.5","0.03225806"
"24898","827","1231.5","0.03225806"
"24900","829","1231.5","0.03225806"
"24904","833","1231.5","0.03225806"
"24905","834","1231.5","0.03225806"
"24907","836","1231.5","0.03225806"
"24908","837","1231.5","0.03225806"
"24911","840","1231.5","0.03225806"
"24914","843","1231.5","0.03225806"
"24917","846","1231.5","0.03225806"
"24921","850","1231.5","0.03225806"
"24933","862","1231.5","0.03225806"
"24935","864","1231.5","0.03225806"
"24936","865","1231.5","0.03225806"
"24938","867","1231.5","0.03225806"
"24939","868","1231.5","0.03225806"
"24951","34-2","1232.5","0.05555556"
"24955","39-2","1232.5","0.05555556"
"24957","42-2","1232.5","0.05555556"
"24958","43-2","1232.5","0.05555556"
"24966","51-2","1232.5","0.05555556"
"24977","62-2","1232.5","0.05555556"
"24979","64-2","1232.5","0.05555556"
"24980","65-2","1232.5","0.05555556"
"24981","66-2","1232.5","0.05555556"
"24983","68-2","1232.5","0.05555556"
"24984","69-2","1232.5","0.05555556"
"24986","71-2","1232.5","0.05555556"
"24987","72-2","1232.5","0.05555556"
"25008","836","1232.5","0.05555556"
"25015","843","1232.5","0.05555556"
"25018","846","1232.5","0.05555556"
"25037","865","1232.5","0.05555556"
"25039","867","1232.5","0.05555556"
"25071","55-2","1233.7","1.00000000"
"25172","55-2","1234.7","1.00000000"
"25273","55-2","1235.8","1.00000000"
"25374","55-2","1236.8","1.00000000"
"25491","71-2","1246.5","1.00000000"
"25576","55-2","1247.6","0.50000000"
"25592","71-2","1247.6","0.50000000"
"25682","60-2","1261.7","0.50000000"
"25685","63-2","1261.7","0.50000000"
"25778","55-2","1263.8","1.00000000"
"25879","55-2","1264.7","1.00000000"
"25980","55-2","1265.7","1.00000000"
"26081","55-2","1266.8","1.00000000"
"26187","60-2","1277.7","0.14285714"
"26190","63-2","1277.7","0.14285714"
"26198","71-2","1277.7","0.14285714"
"26199","72-2","1277.7","0.14285714"
"26200","73-2","1277.7","0.14285714"
"26215","831","1277.7","0.14285714"
"26222","838","1277.7","0.14285714"
"26273","45-2","1278.7","0.20000000"
"26288","60-2","1278.7","0.20000000"
"26291","63-2","1278.7","0.20000000"
"26300","72-2","1278.7","0.20000000"
"26323","838","1278.7","0.20000000"
"26374","45-2","1279.7","0.50000000"
"26424","838","1279.7","0.50000000"
"26482","52-2","1311.7","1.00000000"
"26583","52-2","1313.4","0.50000000"
"26653","865","1313.4","0.50000000"
"26723","834","1315.7","0.20000000"
"26732","843","1315.7","0.20000000"
"26739","850","1315.7","0.20000000"
"26754","865","1315.7","0.20000000"
"26756","867","1315.7","0.20000000"
"26855","865","1316.6","1.00000000"
"26886","52-2","1326.7","1.00000000"
"26995","60-2","1329.6","0.33333333"
"26998","63-2","1329.6","0.33333333"
"27002","67-2","1329.6","0.33333333"
"27096","60-2","1330.6","0.33333333"
"27099","63-2","1330.6","0.33333333"
"27103","67-2","1330.6","0.33333333"
"27197","60-2","1332.7","0.33333333"
"27200","63-2","1332.7","0.33333333"
"27209","72-2","1332.7","0.33333333"
"27301","63-2","1333.7","1.00000000"
"27391","52-2","1336.7","1.00000000"
"27492","52-2","1337.7","1.00000000"
"27593","52-2","1338.7","1.00000000"
"27694","52-2","1339.7","1.00000000"
"27795","52-2","1340.7","1.00000000"
"27896","52-2","1354.7","1.00000000"
"27997","52-2","1355.7","1.00000000"
"28098","52-2","1356.7","1.00000000"
"28199","52-2","1357.7","1.00000000"
"28300","52-2","1358.7","1.00000000"
"28385","34-2","1359.6","0.02500000"
"28389","39-2","1359.6","0.02500000"
"28391","42-2","1359.6","0.02500000"
"28392","43-2","1359.6","0.02500000"
"28400","51-2","1359.6","0.02500000"
"28411","62-2","1359.6","0.02500000"
"28413","64-2","1359.6","0.02500000"
"28414","65-2","1359.6","0.02500000"
"28415","66-2","1359.6","0.02500000"
"28417","68-2","1359.6","0.02500000"
"28418","69-2","1359.6","0.02500000"
"28420","71-2","1359.6","0.02500000"
"28421","72-2","1359.6","0.02500000"
"28423","817","1359.6","0.02500000"
"28424","818","1359.6","0.02500000"
"28428","822","1359.6","0.02500000"
"28429","823","1359.6","0.02500000"
"28430","824","1359.6","0.02500000"
"28435","829","1359.6","0.02500000"
"28439","833","1359.6","0.02500000"
"28440","834","1359.6","0.02500000"
"28442","836","1359.6","0.02500000"
"28443","837","1359.6","0.02500000"
"28446","840","1359.6","0.02500000"
"28449","843","1359.6","0.02500000"
"28452","846","1359.6","0.02500000"
"28454","848","1359.6","0.02500000"
"28456","850","1359.6","0.02500000"
"28458","852","1359.6","0.02500000"
"28461","855","1359.6","0.02500000"
"28463","857","1359.6","0.02500000"
"28465","859","1359.6","0.02500000"
"28467","861","1359.6","0.02500000"
"28468","862","1359.6","0.02500000"
"28471","865","1359.6","0.02500000"
"28473","867","1359.6","0.02500000"
"28474","868","1359.6","0.02500000"
"28476","870","1359.6","0.02500000"
"28480","874","1359.6","0.02500000"
"28481","875","1359.6","0.02500000"
"28486","34-2","1360.6","0.02702703"
"28490","39-2","1360.6","0.02702703"
"28492","42-2","1360.6","0.02702703"
"28493","43-2","1360.6","0.02702703"
"28501","51-2","1360.6","0.02702703"
"28512","62-2","1360.6","0.02702703"
"28514","64-2","1360.6","0.02702703"
"28515","65-2","1360.6","0.02702703"
"28516","66-2","1360.6","0.02702703"
"28518","68-2","1360.6","0.02702703"
"28519","69-2","1360.6","0.02702703"
"28521","71-2","1360.6","0.02702703"
"28522","72-2","1360.6","0.02702703"
"28524","817","1360.6","0.02702703"
"28525","818","1360.6","0.02702703"
"28527","820","1360.6","0.02702703"
"28529","822","1360.6","0.02702703"
"28530","823","1360.6","0.02702703"
"28531","824","1360.6","0.02702703"
"28534","827","1360.6","0.02702703"
"28536","829","1360.6","0.02702703"
"28540","833","1360.6","0.02702703"
"28541","834","1360.6","0.02702703"
"28543","836","1360.6","0.02702703"
"28544","837","1360.6","0.02702703"
"28547","840","1360.6","0.02702703"
"28550","843","1360.6","0.02702703"
"28553","846","1360.6","0.02702703"
"28557","850","1360.6","0.02702703"
"28564","857","1360.6","0.02702703"
"28565","858","1360.6","0.02702703"
"28568","861","1360.6","0.02702703"
"28569","862","1360.6","0.02702703"
"28572","865","1360.6","0.02702703"
"28574","867","1360.6","0.02702703"
"28575","868","1360.6","0.02702703"
"28581","874","1360.6","0.02702703"
"28587","34-2","1361.6","0.04545455"
"28591","39-2","1361.6","0.04545455"
"28593","42-2","1361.6","0.04545455"
"28594","43-2","1361.6","0.04545455"
"28602","51-2","1361.6","0.04545455"
"28615","64-2","1361.6","0.04545455"
"28616","65-2","1361.6","0.04545455"
"28617","66-2","1361.6","0.04545455"
"28619","68-2","1361.6","0.04545455"
"28622","71-2","1361.6","0.04545455"
"28625","817","1361.6","0.04545455"
"28637","829","1361.6","0.04545455"
"28641","833","1361.6","0.04545455"
"28642","834","1361.6","0.04545455"
"28644","836","1361.6","0.04545455"
"28648","840","1361.6","0.04545455"
"28651","843","1361.6","0.04545455"
"28654","846","1361.6","0.04545455"
"28658","850","1361.6","0.04545455"
"28673","865","1361.6","0.04545455"
"28675","867","1361.6","0.04545455"
"28676","868","1361.6","0.04545455"
"28774","865","1362.5","0.50000000"
"28776","867","1362.5","0.50000000"
"28824","71-2","1375.7","1.00000000"
"28899","45-2","1377.8","1.00000000"
"29027","72-2","1385.8","1.00000000"
"29108","52-2","1416.8","1.00000000"
"29209","52-2","1417.7","1.00000000"
"29310","52-2","1418.7","1.00000000"
"29454","838","1429.6","1.00000000"
"29555","838","1430.6","1.00000000"
"29633","72-2","1436.7","1.00000000"
"29734","72-2","1437.7","1.00000000"
"29828","65-2","1474.8","0.33333333"
"29829","66-2","1474.8","0.33333333"
"29831","68-2","1474.8","0.33333333"
"29929","65-2","1475.8","0.33333333"
"29930","66-2","1475.8","0.33333333"
"29932","68-2","1475.8","0.33333333"
"30030","65-2","1476.8","0.33333333"
"30031","66-2","1476.8","0.33333333"
"30033","68-2","1476.8","0.33333333"
"30134","68-2","1477.8","1.00000000"
"30227","60-2","1484.8","0.25000000"
"30230","63-2","1484.8","0.25000000"
"30238","71-2","1484.8","0.25000000"
"30239","72-2","1484.8","0.25000000"
"30328","60-2","1485.8","0.20000000"
"30331","63-2","1485.8","0.20000000"
"30340","72-2","1485.8","0.20000000"
"30341","73-2","1485.8","0.20000000"
"30356","831","1485.8","0.20000000"
"30441","72-2","1486.8","1.00000000"
"30506","34-2","1488.7","0.02857143"
"30510","39-2","1488.7","0.02857143"
"30512","42-2","1488.7","0.02857143"
"30513","43-2","1488.7","0.02857143"
"30521","51-2","1488.7","0.02857143"
"30532","62-2","1488.7","0.02857143"
"30534","64-2","1488.7","0.02857143"
"30535","65-2","1488.7","0.02857143"
"30536","66-2","1488.7","0.02857143"
"30538","68-2","1488.7","0.02857143"
"30539","69-2","1488.7","0.02857143"
"30541","71-2","1488.7","0.02857143"
"30544","817","1488.7","0.02857143"
"30549","822","1488.7","0.02857143"
"30551","824","1488.7","0.02857143"
"30556","829","1488.7","0.02857143"
"30560","833","1488.7","0.02857143"
"30561","834","1488.7","0.02857143"
"30563","836","1488.7","0.02857143"
"30564","837","1488.7","0.02857143"
"30567","840","1488.7","0.02857143"
"30570","843","1488.7","0.02857143"
"30573","846","1488.7","0.02857143"
"30577","850","1488.7","0.02857143"
"30582","855","1488.7","0.02857143"
"30583","856","1488.7","0.02857143"
"30584","857","1488.7","0.02857143"
"30586","859","1488.7","0.02857143"
"30587","860","1488.7","0.02857143"
"30589","862","1488.7","0.02857143"
"30592","865","1488.7","0.02857143"
"30594","867","1488.7","0.02857143"
"30595","868","1488.7","0.02857143"
"30601","874","1488.7","0.02857143"
"30602","875","1488.7","0.02857143"
"30607","34-2","1489.6","0.02702703"
"30611","39-2","1489.6","0.02702703"
"30613","42-2","1489.6","0.02702703"
"30614","43-2","1489.6","0.02702703"
"30622","51-2","1489.6","0.02702703"
"30633","62-2","1489.6","0.02702703"
"30635","64-2","1489.6","0.02702703"
"30636","65-2","1489.6","0.02702703"
"30637","66-2","1489.6","0.02702703"
"30639","68-2","1489.6","0.02702703"
"30640","69-2","1489.6","0.02702703"
"30642","71-2","1489.6","0.02702703"
"30645","817","1489.6","0.02702703"
"30646","818","1489.6","0.02702703"
"30648","820","1489.6","0.02702703"
"30650","822","1489.6","0.02702703"
"30652","824","1489.6","0.02702703"
"30657","829","1489.6","0.02702703"
"30661","833","1489.6","0.02702703"
"30662","834","1489.6","0.02702703"
"30664","836","1489.6","0.02702703"
"30665","837","1489.6","0.02702703"
"30668","840","1489.6","0.02702703"
"30671","843","1489.6","0.02702703"
"30674","846","1489.6","0.02702703"
"30678","850","1489.6","0.02702703"
"30683","855","1489.6","0.02702703"
"30684","856","1489.6","0.02702703"
"30685","857","1489.6","0.02702703"
"30686","858","1489.6","0.02702703"
"30687","859","1489.6","0.02702703"
"30690","862","1489.6","0.02702703"
"30693","865","1489.6","0.02702703"
"30695","867","1489.6","0.02702703"
"30696","868","1489.6","0.02702703"
"30702","874","1489.6","0.02702703"
"30703","875","1489.6","0.02702703"
"30708","34-2","1490.6","0.04347826"
"30712","39-2","1490.6","0.04347826"
"30714","42-2","1490.6","0.04347826"
"30715","43-2","1490.6","0.04347826"
"30723","51-2","1490.6","0.04347826"
"30734","62-2","1490.6","0.04347826"
"30736","64-2","1490.6","0.04347826"
"30737","65-2","1490.6","0.04347826"
"30738","66-2","1490.6","0.04347826"
"30740","68-2","1490.6","0.04347826"
"30743","71-2","1490.6","0.04347826"
"30746","817","1490.6","0.04347826"
"30758","829","1490.6","0.04347826"
"30762","833","1490.6","0.04347826"
"30763","834","1490.6","0.04347826"
"30765","836","1490.6","0.04347826"
"30769","840","1490.6","0.04347826"
"30772","843","1490.6","0.04347826"
"30775","846","1490.6","0.04347826"
"30779","850","1490.6","0.04347826"
"30794","865","1490.6","0.04347826"
"30796","867","1490.6","0.04347826"
"30797","868","1490.6","0.04347826"
"30841","68-2","1491.7","1.00000000"
"30934","60-2","1500.8","0.12500000"
"30937","63-2","1500.8","0.12500000"
"30940","66-2","1500.8","0.12500000"
"30945","71-2","1500.8","0.12500000"
"30946","72-2","1500.8","0.12500000"
"30947","73-2","1500.8","0.12500000"
"30962","831","1500.8","0.12500000"
"30969","838","1500.8","0.12500000"
"31035","60-2","1501.8","0.14285714"
"31038","63-2","1501.8","0.14285714"
"31046","71-2","1501.8","0.14285714"
"31047","72-2","1501.8","0.14285714"
"31048","73-2","1501.8","0.14285714"
"31063","831","1501.8","0.14285714"
"31070","838","1501.8","0.14285714"
"31136","60-2","1562.8","0.33333333"
"31139","63-2","1562.8","0.33333333"
"31149","73-2","1562.8","0.33333333"
"31237","60-2","1563.8","0.50000000"
"31240","63-2","1563.8","0.50000000"
"31323","45-2","1580.1","1.00000000"
"31424","45-2","1581.3","1.00000000"
"31546","66-2","1602.9","0.50000000"
